,learnerID,learnerProfile_x,testID,assessmentItemID,answerCode,difficultyLevel,discriminationLevel,guessLevel,knowledgeTag,learnerProfile_y,theta,realScore
425191,A030000385,F;S01;3,A030000030,A030030001,1,-3.1961672339,0.47928172,0.0077287551,342,F;S01;3,-0.160193657,0.8031453123
425192,A030000385,F;S01;3,A030000030,A030030002,1,-0.9621926318,2.6056510409,3.3057e-06,342,F;S01;3,-0.160193657,0.8031453123
425193,A030000385,F;S01;3,A030000030,A030030003,1,-0.9052167021,2.2004189467,4.748e-07,346,F;S01;3,-0.160193657,0.8031453123
425194,A030000385,F;S01;3,A030000030,A030030004,0,-1.0243689209,1.6518141804,0.0030486862,346,F;S01;3,-0.160193657,0.8031453123
425195,A030000385,F;S01;3,A030000030,A030030005,1,-0.6927213699,1.3217067899,4.58e-08,342,F;S01;3,-0.160193657,0.8031453123
430046,A030000385,F;S01;3,A030000034,A030034001,1,-0.4510184615,4.6090869593,7.0747e-06,355,F;S01;3,0.2596308041,0.9902640691
430047,A030000385,F;S01;3,A030000034,A030034002,1,-0.351887898,7.2007528803,4.703e-07,355,F;S01;3,0.2596308041,0.9902640691
430048,A030000385,F;S01;3,A030000034,A030034003,1,-0.0789518262,37.4550451798,0.0,355,F;S01;3,0.2596308041,0.9902640691
430049,A030000385,F;S01;3,A030000034,A030034004,1,-0.0529893306,63.759076997,1.3e-09,355,F;S01;3,0.2596308041,0.9902640691
430050,A030000385,F;S01;3,A030000034,A030034005,1,-0.0477706751,28.3183115933,0.0,355,F;S01;3,0.2596308041,0.9902640691
431931,A030000385,F;S01;3,A030000036,A030036001,1,-1.2908731105,2.7440231929,0.0114217146,365,F;S01;3,0.2708843061,0.9066885454
431932,A030000385,F;S01;3,A030000036,A030036002,1,-1.4274517611,1.5686559488,0.0165359205,371,F;S01;3,0.2708843061,0.9066885454
431933,A030000385,F;S01;3,A030000036,A030036003,0,-1.247071291,1.3678171729,0.0165103742,371,F;S01;3,0.2708843061,0.9066885454
431934,A030000385,F;S01;3,A030000036,A030036004,1,0.1190136567,7.3633452356,0.2989535962,371,F;S01;3,0.2708843061,0.9066885454
431935,A030000385,F;S01;3,A030000036,A030036005,1,-0.9082466464,1.788451875,0.0132225949,371,F;S01;3,0.2708843061,0.9066885454
436971,A030000385,F;S01;3,A030000040,A030040001,1,-1.5574388586,1.8144233737,2.141e-07,351,F;S01;3,0.4366556442,0.9324760259
436972,A030000385,F;S01;3,A030000040,A030040002,1,-1.2082197182,2.9690562641,2.288e-07,351,F;S01;3,0.4366556442,0.9324760259
436973,A030000385,F;S01;3,A030000040,A030040003,1,-1.536030893,1.6596141418,1.9835e-06,7333,F;S01;3,0.4366556442,0.9324760259
436974,A030000385,F;S01;3,A030000040,A030040004,1,-1.3755274112,0.9162875941,9.19e-08,7333,F;S01;3,0.4366556442,0.9324760259
436975,A030000385,F;S01;3,A030000040,A030040005,1,-0.986630514,1.484871717,0.0,7333,F;S01;3,0.4366556442,0.9324760259
438846,A030000385,F;S01;3,A030000042,A030042001,1,-0.4556392412,3.3967313264,0.0005628,363,F;S01;3,0.078124466,0.843132856
438847,A030000385,F;S01;3,A030000042,A030042002,1,-1.0706051714,1.1880381257,0.003502583,7334,F;S01;3,0.078124466,0.843132856
438848,A030000385,F;S01;3,A030000042,A030042003,1,-0.5736861557,3.6888523477,0.0124938252,7334,F;S01;3,0.078124466,0.843132856
438849,A030000385,F;S01;3,A030000042,A030042004,1,-0.7590263649,2.1729111639,8.95232e-05,7334,F;S01;3,0.078124466,0.843132856
438850,A030000385,F;S01;3,A030000042,A030042005,0,-0.7149597311,1.5943843987,0.0006944208,7334,F;S01;3,0.078124466,0.843132856
442959,A030000385,F;S01;3,A030000046,A030046001,1,-1.641514273,1.1489050413,0.0251064202,373,F;S01;3,-0.0629120002,0.925356037
442960,A030000385,F;S01;3,A030000046,A030046002,0,-1.360680073,1.5606754082,0.0152541983,373,F;S01;3,-0.0629120002,0.925356037
442961,A030000385,F;S01;3,A030000046,A030046003,1,-1.2715193726,3.0041121603,0.008555414,373,F;S01;3,-0.0629120002,0.925356037
442962,A030000385,F;S01;3,A030000046,A030046004,1,-0.2084677323,15.8627039141,0.2986437323,373,F;S01;3,-0.0629120002,0.925356037
442963,A030000385,F;S01;3,A030000046,A030046005,1,-1.1058948817,3.2339570792,0.0113527984,373,F;S01;3,-0.0629120002,0.925356037
448744,A030000385,F;S01;3,A030000052,A030052001,1,-1.1736105331,1.6873100226,1.97342e-05,409,F;S01;3,-0.1027843344,0.6719182982
448745,A030000385,F;S01;3,A030000052,A030052002,0,0.0062561667,17.5828706689,0.1733807556,409,F;S01;3,-0.1027843344,0.6719182982
448746,A030000385,F;S01;3,A030000052,A030052003,1,-0.4379668775,2.2929596251,6.7352e-06,409,F;S01;3,-0.1027843344,0.6719182982
448747,A030000385,F;S01;3,A030000052,A030052004,1,-0.8107832153,2.210019685,4.95933e-05,409,F;S01;3,-0.1027843344,0.6719182982
448748,A030000385,F;S01;3,A030000052,A030052005,1,-0.4263313085,2.7830098442,1.65e-08,409,F;S01;3,-0.1027843344,0.6719182982
462301,A030000385,F;S01;3,A030000065,A030065001,1,-0.9387998562,1.7374207924,3e-10,436,F;S01;3,-0.6145394251,0.6963692355
462302,A030000385,F;S01;3,A030000065,A030065002,1,-1.5335107866,1.3186804764,0.0033398529,436,F;S01;3,-0.6145394251,0.6963692355
462303,A030000385,F;S01;3,A030000065,A030065003,1,-1.2833137042,2.0380672183,0.00010081,436,F;S01;3,-0.6145394251,0.6963692355
462304,A030000385,F;S01;3,A030000065,A030065004,0,-1.0245884627,1.1230022253,7.7e-09,436,F;S01;3,-0.6145394251,0.6963692355
462305,A030000385,F;S01;3,A030000065,A030065005,0,-0.9694391972,1.9171373598,3.2e-09,436,F;S01;3,-0.6145394251,0.6963692355
467310,A030000385,F;S01;3,A030000070,A030070001,1,-1.5109496965,2.9799704163,0.0001552291,438,F;S01;3,0.5651990923,0.864381555
467311,A030000385,F;S01;3,A030000070,A030070002,1,-1.6812632834,2.0768076516,0.0001530896,438,F;S01;3,0.5651990923,0.864381555
467312,A030000385,F;S01;3,A030000070,A030070003,1,-1.1188465182,1.6558752988,8.47343e-05,438,F;S01;3,0.5651990923,0.864381555
467313,A030000385,F;S01;3,A030000070,A030070004,1,-0.1988482519,1.0514095622,4e-10,438,F;S01;3,0.5651990923,0.864381555
467314,A030000385,F;S01;3,A030000070,A030070005,1,-1.5444255678,0.3973085142,0.0081461407,438,F;S01;3,0.5651990923,0.864381555
479570,A030000385,F;S01;3,A030000082,A030082001,0,-0.9869421881,1.1247443804,9.032e-06,439,F;S01;3,-0.1236056644,0.6812481453
479571,A030000385,F;S01;3,A030000082,A030082002,1,-0.98977523,1.9592327532,2.7699e-06,439,F;S01;3,-0.1236056644,0.6812481453
479572,A030000385,F;S01;3,A030000082,A030082003,1,-0.8225362588,1.5662183459,1.3731e-06,439,F;S01;3,-0.1236056644,0.6812481453
479573,A030000385,F;S01;3,A030000082,A030082004,1,-0.67519089,0.8589541088,2.915e-07,439,F;S01;3,-0.1236056644,0.6812481453
479574,A030000385,F;S01;3,A030000082,A030082005,0,0.0445022937,0.7093185109,1.075685004e-24,439,F;S01;3,-0.1236056644,0.6812481453
481460,A030000385,F;S01;3,A030000084,A030084001,1,-0.5218225957,1.528065504,3.339e-07,443,F;S01;3,0.7096675362,0.9243768289
481461,A030000385,F;S01;3,A030000084,A030084002,1,-0.5312142939,3.0596177203,0.0,443,F;S01;3,0.7096675362,0.9243768289
481462,A030000385,F;S01;3,A030000084,A030084003,1,-0.5971240157,3.3309370292,2.415e-07,443,F;S01;3,0.7096675362,0.9243768289
481463,A030000385,F;S01;3,A030000084,A030084004,1,-0.1344434523,1.7630854916,9.542340253e-24,443,F;S01;3,0.7096675362,0.9243768289
481464,A030000385,F;S01;3,A030000084,A030084005,1,-0.6109718407,2.7117478604,1.81e-08,443,F;S01;3,0.7096675362,0.9243768289
485519,A030000385,F;S01;3,A030000088,A030088001,1,-1.5135405425,1.1509061076,0.0001598748,447,F;S01;3,-0.6008224862,0.7235751094
485520,A030000385,F;S01;3,A030000088,A030088002,1,-2.0600293388,1.3136191415,0.000517501,447,F;S01;3,-0.6008224862,0.7235751094
485521,A030000385,F;S01;3,A030000088,A030088003,0,-0.7773148656,2.2399898963,0.0,447,F;S01;3,-0.6008224862,0.7235751094
485522,A030000385,F;S01;3,A030000088,A030088004,1,-1.0393200879,89.3311604495,0.0,447,F;S01;3,-0.6008224862,0.7235751094
485523,A030000385,F;S01;3,A030000088,A030088005,1,0.2164509669,0.4578118327,2.60573e-05,447,F;S01;3,-0.6008224862,0.7235751094
